zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
90055,0.46,0.06,0.37,34.3,0.01,0.67,0.93,0.79,0.17,130688.0
90056,0.25,0.59,0.04,44.2,0.03,0.46,0.93,0.69,0.32,104174.0
90057,0.33,0.05,0.19,34.39,0.02,0.18,0.58,0.75,0.26,41719.0
90058,0.53,0.07,0.01,29.0,0.01,0.05,0.45,0.65,0.4,46481.33
90059,0.4,0.28,0.0,27.16,0.02,0.05,0.53,0.6,0.38,48586.89
90061,0.27,0.37,0.0,31.48,0.03,0.08,0.62,0.64,0.36,58525.44
90062,0.22,0.4,0.01,36.71,0.03,0.13,0.67,0.65,0.33,63829.57
90063,0.44,0.01,0.02,31.52,0.02,0.08,0.5,0.68,0.44,55983.46
90064,0.65,0.04,0.23,37.44,-0.01,0.69,0.96,0.77,0.41,147195.62
90065,0.52,0.01,0.17,36.5,0.02,0.29,0.68,0.74,0.43,83212.46
90066,0.63,0.05,0.13,38.84,0.01,0.53,0.88,0.78,0.38,130629.5
90067,0.71,0.01,0.24,65.4,0.01,0.71,0.98,0.69,0.42,250694.0
90068,0.8,0.05,0.06,39.43,0.01,0.68,0.98,0.8,0.27,220755.83
90069,0.8,0.04,0.06,41.27,0.0,0.64,0.98,0.82,0.2,192557.75
90077,0.85,0.01,0.1,49.23,0.01,0.71,0.97,0.75,0.61,334969.0
90079,0.35,0.05,0.28,30.45,-0.01,0.52,0.82,0.65,0.26,141564.5
90082,0.37,0.16,0.02,28.9,0.02,0.07,0.5,0.63,0.36,49145.0
90083,0.68,0.03,0.14,45.7,0.01,0.58,0.99,0.8,0.52,155249.0
90086,0.06,0.02,0.89,43.1,-0.01,0.19,0.49,0.56,0.39,32775.0
90089,0.34,0.06,0.54,24.4,0.04,0.69,0.96,0.45,0.13,115133.0
90091,0.78,0.01,0.02,37.2,0.02,0.1,0.62,0.69,0.47,61917.0
90094,0.56,0.1,0.25,34.5,0.0,0.79,0.99,0.77,0.36,235981.0
90095,0.53,0.02,0.36,23.2,0.01,0.8,1.0,0.52,0.07,124912.0
90201,0.78,0.01,0.01,28.55,0.01,0.06,0.48,0.69,0.52,47612.37
90210,0.86,0.01,0.08,46.68,0.0,0.66,0.96,0.73,0.56,288802.2
90211,0.81,0.02,0.12,43.2,0.0,0.61,0.96,0.74,0.41,190375.5
90212,0.81,0.03,0.08,40.25,0.0,0.67,0.95,0.74,0.44,230669.0
90220,0.37,0.36,0.01,31.18,0.02,0.1,0.66,0.65,0.43,61889.4
90221,0.45,0.18,0.03,29.95,0.03,0.07,0.57,0.65,0.51,59903.38
90222,0.47,0.19,0.01,26.91,0.02,0.05,0.53,0.64,0.44,51479.57
90224,0.38,0.32,0.01,30.2,0.03,0.06,0.65,0.6,0.5,56036.0
90230,0.66,0.04,0.15,38.54,0.01,0.47,0.87,0.8,0.43,114369.88
90231,0.54,0.1,0.18,49.5,0.02,0.52,0.91,0.82,0.61,134402.0
90232,0.62,0.07,0.19,38.53,0.01,0.54,0.92,0.78,0.33,118224.0
