zipcode,confirmed_cases,deaths
95418,1213,21
95428,1213,21
95542,1213,21
95369,9916,163
95333,9916,163
95360,9916,163
93665,9916,163
95334,9916,163
93661,9916,163
95322,9916,163
95343,9916,163
95344,9916,163
95365,9916,163
95341,9916,163
95315,9916,163
95324,9916,163
95388,9916,163
95303,9916,163
93622,9916,163
95301,9916,163
95374,9916,163
93635,9916,163
95316,9916,163
95317,9916,163
95348,9916,163
95340,9916,163
95380,9916,163
93620,9916,163
93610,9916,163
95312,9916,163
96056,68,0
96054,68,0
96116,68,0
96104,68,0
96134,68,0
96015,68,0
96108,68,0
96112,68,0
96115,68,0
96110,68,0
96101,68,0
96006,68,0
93514,336,2
96107,336,2
96133,336,2
93541,336,2
93512,336,2
93517,336,2
93529,336,2
93546,336,2
93901,11998,99
93912,11998,99
93905,11998,99
95012,11998,99
93942,11998,99
93954,11998,99
93923,11998,99
93926,11998,99
93925,11998,99
95076,11998,99
93920,11998,99
93450,11998,99
93906,11998,99
93908,11998,99
93930,11998,99
93940,11998,99
93932,11998,99
93955,11998,99
93915,11998,99
95004,11998,99
93953,11998,99
93950,11998,99
93933,11998,99
93927,11998,99
93451,11998,99
93426,11998,99
93943,11998,99
93907,11998,99
93924,11998,99
93921,11998,99
93960,11998,99
93922,11998,99
93944,11998,99
93902,11998,99
95039,11998,99
93962,11998,99
93928,11998,99
94591,2149,15
94562,2149,15
94559,2149,15
94581,2149,15
94503,2149,15
94515,2149,15
94567,2149,15
94599,2149,15
94573,2149,15
94576,2149,15
95461,2149,15
94508,2149,15
95476,2149,15
94574,2149,15
94558,2149,15
96162,688,9
95602,688,9
96111,688,9
96161,688,9
95975,688,9
95712,688,9
95959,688,9
95946,688,9
95728,688,9
95924,688,9
95986,688,9
95949,688,9
95945,688,9
95977,688,9
95960,688,9
96160,688,9
90740,61112,1494
90680,61112,1494
92627,61112,1494
92628,61112,1494
90620,61112,1494
92673,61112,1494
92869,61112,1494
92825,61112,1494
92831,61112,1494
92708,61112,1494
92801,61112,1494
92707,61112,1494
92834,61112,1494
92867,61112,1494
92616,61112,1494
92674,61112,1494
92799,61112,1494
92711,61112,1494
92697,61112,1494
92803,61112,1494
92885,61112,1494
92859,61112,1494
92735,61112,1494
92605,61112,1494
92864,61112,1494
92612,61112,1494
92618,61112,1494
92603,61112,1494
92604,61112,1494
92679,61112,1494
92637,61112,1494
92653,61112,1494
92659,61112,1494
92704,61112,1494
92804,61112,1494
90742,61112,1494
92617,61112,1494
92676,61112,1494
92652,61112,1494
90633,61112,1494
92836,61112,1494
92846,61112,1494
90720,61112,1494
92624,61112,1494
90622,61112,1494
92672,61112,1494
92675,61112,1494
92677,61112,1494
92647,61112,1494
92649,61112,1494
92651,61112,1494
92660,61112,1494
92701,61112,1494
92703,61112,1494
92845,61112,1494
92809,61112,1494
92654,61112,1494
92861,61112,1494
92863,61112,1494
92812,61112,1494
90743,61112,1494
92602,61112,1494
92609,61112,1494
90623,61112,1494
90631,61112,1494
90632,61112,1494
92683,61112,1494
92630,61112,1494
92692,61112,1494
92835,61112,1494
92842,61112,1494
92857,61112,1494
92615,61112,1494
92684,61112,1494
90638,61112,1494
92814,61112,1494
92899,61112,1494
92619,61112,1494
90630,61112,1494
92656,61112,1494
92661,61112,1494
92870,61112,1494
92886,61112,1494
92806,61112,1494
92821,61112,1494
92833,61112,1494
92807,61112,1494
92844,61112,1494
92866,61112,1494
92802,61112,1494
92782,61112,1494
92822,61112,1494
92838,61112,1494
92823,61112,1494
92871,61112,1494
92856,61112,1494
92862,61112,1494
92698,61112,1494
92606,61112,1494
92658,61112,1494
92688,61112,1494
92655,61112,1494
92840,61112,1494
92841,61112,1494
92780,61112,1494
92805,61112,1494
92817,61112,1494
92832,61112,1494
92865,61112,1494
92607,61112,1494
92837,61112,1494
92816,61112,1494
92614,61112,1494
92610,61112,1494
92620,61112,1494
90621,61112,1494
92648,61112,1494
92691,61112,1494
92887,61112,1494
92843,61112,1494
92706,61112,1494
92811,61112,1494
92728,61112,1494
90721,61112,1494
92815,61112,1494
92693,61112,1494
90808,61112,1494
92625,61112,1494
92623,61112,1494
92626,61112,1494
92629,61112,1494
92663,61112,1494
92657,61112,1494
92646,61112,1494
92662,61112,1494
92694,61112,1494
92690,61112,1494
92702,61112,1494
92868,61112,1494
92808,61112,1494
92705,61112,1494
92781,61112,1494
92678,61112,1494
92685,61112,1494
92650,61112,1494
90624,61112,1494
96161,4640,60
95658,4640,60
95717,4640,60
95631,4640,60
96145,4640,60
95668,4640,60
96141,4640,60
95663,4640,60
95650,4640,60
95604,4640,60
95602,4640,60
95681,4640,60
95701,4640,60
95703,4640,60
95626,4640,60
96142,4640,60
95714,4640,60
95765,4640,60
95678,4640,60
96143,4640,60
95713,4640,60
95722,4640,60
95648,4640,60
96146,4640,60
95959,4640,60
95747,4640,60
95603,4640,60
95677,4640,60
96140,4640,60
95715,4640,60
95746,4640,60
95661,4640,60
96148,4640,60
95736,4640,60
96122,94,0
95983,94,0
95923,94,0
96106,94,0
95915,94,0
96129,94,0
95934,94,0
95981,94,0
95971,94,0
96020,94,0
96137,94,0
95980,94,0
96103,94,0
95984,94,0
95930,94,0
96135,94,0
95947,94,0
95956,94,0
96105,94,0
92555,70309,1331
92509,70309,1331
92517,70309,1331
92530,70309,1331
92504,70309,1331
92236,70309,1331
92324,70309,1331
92584,70309,1331
92595,70309,1331
92882,70309,1331
92513,70309,1331
92516,70309,1331
92239,70309,1331
92503,70309,1331
92570,70309,1331
92505,70309,1331
92551,70309,1331
92282,70309,1331
92240,70309,1331
92223,70309,1331
92201,70309,1331
92203,70309,1331
92210,70309,1331
92590,70309,1331
92596,70309,1331
92860,70309,1331
92230,70309,1331
92255,70309,1331
92502,70309,1331
92877,70309,1331
92202,70309,1331
92521,70309,1331
92028,70309,1331
92522,70309,1331
