zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
94804,0.47,0.15,0.11,36.36,0.03,0.22,0.68,0.7,0.41,76825.11
94805,0.53,0.14,0.15,40.92,0.01,0.35,0.87,0.82,0.46,98979.75
94806,0.47,0.17,0.17,34.75,0.02,0.18,0.73,0.71,0.41,78478.88
94820,0.5,0.18,0.21,44.3,0.03,0.34,0.9,0.76,0.56,87426.0
94901,0.64,0.03,0.07,42.56,0.0,0.48,0.82,0.75,0.5,178919.4
94903,0.83,0.02,0.06,47.22,0.01,0.6,0.96,0.79,0.49,172035.0
94904,0.78,0.03,0.04,44.6,0.02,0.57,0.94,0.79,0.39,176810.5
94912,0.4,0.01,0.12,34.2,0.0,0.23,0.6,0.76,0.45,81666.0
94913,0.72,0.01,0.09,46.9,-0.0,0.53,0.96,0.8,0.49,138577.0
94920,0.89,0.01,0.03,49.8,0.01,0.73,1.0,0.7,0.58,379430.0
94922,0.88,0.0,0.02,51.6,0.0,0.56,0.96,0.69,0.57,113676.0
94924,0.87,0.01,0.01,55.5,0.02,0.52,0.93,0.77,0.5,133016.0
94927,0.61,0.01,0.05,30.9,0.02,0.2,0.83,0.73,0.31,75125.0
94928,0.7,0.01,0.05,35.97,0.0,0.22,0.89,0.75,0.39,85425.0
94930,0.91,0.01,0.03,47.0,0.02,0.66,0.97,0.77,0.52,180762.5
94931,0.8,0.03,0.04,32.27,0.02,0.33,0.92,0.76,0.45,101169.25
94938,0.94,0.0,0.0,51.8,-0.03,0.56,0.97,0.79,0.41,132391.0
94939,0.81,0.01,0.09,45.0,0.0,0.66,0.95,0.75,0.48,199691.0
94940,0.85,0.0,0.02,53.0,-0.01,0.45,0.94,0.82,0.5,161379.0
94941,0.86,0.01,0.06,47.25,-0.0,0.74,0.98,0.77,0.53,266605.33
94945,0.84,0.0,0.05,47.53,0.01,0.46,0.92,0.73,0.62,153286.33
94947,0.74,0.02,0.07,46.05,0.01,0.44,0.93,0.77,0.49,143634.5
94949,0.77,0.03,0.08,48.5,0.01,0.5,0.96,0.76,0.53,165725.33
94951,0.66,0.01,0.04,41.5,0.01,0.33,0.85,0.72,0.38,88701.0
94952,0.83,0.01,0.02,43.71,0.01,0.4,0.91,0.75,0.52,130504.14
